建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
新街國小,中壢分局,68000,68000020,新街里,7,延平路,N/A,N/A,N/A,N/A,N/A,N/A,157,N/A,N/A,N/A,1、2,341,24.962347,121.217623,N/A
富庶村,中壢分局,68000,68000020,至善里,8,龍昌路,N/A,N/A,N/A,149,N/A,N/A,28,N/A,9樓,N/A,1,893,24.93915,121.250521,N/A
中原大學,中壢分局,68000,68000020,普忠里,13,中北路,N/A,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,1、2,2540,24.957479,121.240787,N/A
青雲福邸,中壢分局,68000,68000020,明德里,3,長沙路,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,1,280,24.949383,121.23053,N/A
新都廷,中壢分局,68000,68000020,忠福里,38,南園二路,N/A,N/A,N/A,N/A,N/A,N/A,336,N/A,N/A,N/A,1、2、3,1077,24.971837,121.227051,N/A
和瑞捷星,中壢分局,68000,68000020,忠福里,38,南園二路,N/A,N/A,N/A,N/A,N/A,N/A,292,N/A,N/A,N/A,1、2、3,2301,24.971999,121.227912,N/A
天朵,中壢分局,68000,68000020,仁德里,11,新中北路,N/A,N/A,二,170,N/A,N/A,66,N/A,2樓,N/A,1、2,2807,24.954569,121.263083,N/A
漢升密封科技股份有限公司,中壢分局,68000,68000020,文化里,3,北園路,N/A,N/A,N/A,N/A,N/A,N/A,22,1,N/A,N/A,1,1572,24.980324,121.242366,N/A
宸宜進寶,中壢分局,68000,68000020,洽溪里,6,民權路,N/A,N/A,四,N/A,N/A,N/A,479,N/A,N/A,N/A,1,1213,25.009195,121.201638,N/A
啟英高中,中壢分局,68000,68000020,永福里,6,中園路,N/A,N/A,N/A,N/A,N/A,N/A,447,N/A,N/A,N/A,1,860,24.975337,121.235744,N/A
中央大學,中壢分局,68000,68000020,內厝里,1,N/A,N/A,大享街,一,186,N/A,N/A,63,N/A,N/A,N/A,1,1269,24.968966,121.187225,N/A
_國際高鐵新站特區,中壢分局,68000,68000020,青埔里,7,致遠一路,N/A,N/A,N/A,N/A,N/A,N/A,278,N/A,N/A,N/A,1、2,1547,25.007023,121.215223,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,66,N/A,N/A,N/A,1,100,24.963316,121.212278,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,1,104,24.961234,121.210995,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,1,104,24.961279,121.210985,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,72,N/A,N/A,N/A,1,104,24.961304,121.211071,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,1,104,24.963326,121.212246,N/A
家福開發,中壢分局,68000,68000020,新明里,11,三光路,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,1,104,24.961339,121.21114,N/A
_城市首席,中壢分局,68000,68000020,青埔里,3,青溪路,N/A,N/A,二,N/A,N/A,N/A,129,N/A,N/A,N/A,1、2,2293,25.016858,121.223716,N/A
宏國新城,中壢分局,68000,68000020,永光里,7,環西路,N/A,N/A,二,N/A,N/A,N/A,352,3,8樓,N/A,1、2、3、4,1524,24.957927,121.207135,N/A
翁宅,中壢分局,68000,68000020,永光里,19,環西路,N/A,N/A,二,N/A,N/A,N/A,363,N/A,N/A,N/A,1,91,24.965689,121.214843,N/A
海華大帝,中壢分局,68000,68000020,金華里,2,六和路,N/A,N/A,N/A,N/A,N/A,N/A,79,N/A,13樓之2,N/A,1、2、3,5957,24.963102,121.224659,N/A
宜誠僑峰,中壢分局,68000,68000020,芝芭里,1,領航南路,N/A,N/A,一,N/A,N/A,N/A,172,N/A,13樓,N/A,1、2,3111,24.999924,121.206599,N/A
宜誠璽悅,中壢分局,68000,68000020,龍興里,18,龍岡路,N/A,N/A,三,115,65,N/A,9,N/A,N/A,N/A,1、2,1766,24.93842,121.233694,N/A
鋒橋淳光,中壢分局,68000,68000020,青埔里,6,青埔路,N/A,N/A,二,N/A,N/A,N/A,321,N/A,N/A,N/A,1、2,1521,25.00444,121.218446,N/A
_國際高鐵晶站社區,中壢分局,68000,68000020,青埔里,5,高鐵站前西路,N/A,N/A,一,N/A,N/A,N/A,206,N/A,N/A,N/A,1、2,835,25.010002,121.216135,N/A
幸福樂章,中壢分局,68000,68000020,中興里,11,N/A,N/A,榮安八街,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,1、2,581,24.962518,121.258957,N/A
聯饗書屋,中壢分局,68000,68000020,中央里,8,中央東路,N/A,N/A,N/A,N/A,N/A,N/A,48,N/A,N/A,N/A,1,77,24.956704,121.225045,N/A
鉑金苑,中壢分局,68000,68000020,忠福里,39,南園二路,N/A,N/A,N/A,N/A,N/A,N/A,267,N/A,3樓,N/A,1、2,3450,24.9717,121.227981,N/A
人人化學製藥股份有限公司,中壢分局,68000,68000020,永福里,7,南園二路,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,1,29,24.971737,121.234378,N/A
龍騰御,中壢分局,68000,68000020,五權里,20,N/A,N/A,正光二街,N/A,N/A,N/A,N/A,6,N/A,6樓,N/A,1、2、3,945,24.961007,121.206337,N/A
涵美賞,中壢分局,68000,68000020,明德里,18,N/A,N/A,五華街,N/A,N/A,N/A,N/A,69,N/A,N/A,N/A,1、2、3,797,24.948126,121.231991,N/A
中大隨筆社區,中壢分局,68000,68000020,內厝里,19,N/A,N/A,大享街,N/A,N/A,N/A,N/A,466,N/A,N/A,N/A,1、2,364,24.974452,121.197305,N/A
榮元診所,中壢分局,68000,68000020,中原里,12,興農路,N/A,N/A,N/A,N/A,N/A,N/A,106,N/A,N/A,N/A,1,202,24.97366,121.257507,N/A
湯城世紀-領袖,中壢分局,68000,68000020,忠義里,10,中華路,N/A,N/A,一,805,30,N/A,76,N/A,N/A,N/A,1、2、3、4,5040,24.965653,121.246481,N/A
中壢靈糧堂,中壢分局,68000,68000020,信義里,14,杭州路,N/A,N/A,N/A,N/A,N/A,N/A,71,N/A,N/A,N/A,1,457,24.95135,121.235405,N/A
伯爵與夫人,中壢分局,68000,68000020,仁義里,22,N/A,N/A,福州二街,N/A,N/A,N/A,N/A,512,N/A,7樓之5,N/A,1、2、3,4613,24.968296,121.235072,N/A
_國際高鐵帝景特區,中壢分局,68000,68000060,青山里,35,N/A,N/A,致祥三街,N/A,N/A,N/A,N/A,48,N/A,N/A,N/A,1、2,846,25.007944,121.211587,N/A
宜誠天匯社區,中壢分局,68000,68000020,過嶺里,12,松勤路,N/A,N/A,N/A,N/A,N/A,N/A,86,N/A,3樓,N/A,1、2、3,2236,24.960704,121.164799,N/A
名馳雋朗社區,中壢分局,68000,68000020,過嶺里,12,民族路,N/A,N/A,五,N/A,N/A,N/A,518,N/A,3樓,N/A,1、2、3,1373,24.958171,121.166009,N/A
楊宅,中壢分局,68000,68000020,內厝里,5,中正路,N/A,N/A,二,363,N/A,N/A,155,3,N/A,N/A,1,43,24.979642,121.193231,N/A
曾宅,中壢分局,68000,68000020,內厝里,5,中正路,N/A,N/A,二,363,N/A,N/A,155,6,N/A,N/A,1,43,24.97971,121.19322,N/A
游宅,中壢分局,68000,68000020,內厝里,5,中正路,N/A,N/A,二,363,N/A,N/A,155,5,N/A,N/A,1,43,24.979632,121.193231,N/A
傅宅,中壢分局,68000,68000020,內厝里,5,中正路,N/A,N/A,二,363,N/A,N/A,155,2,N/A,N/A,1,45,24.97969,121.193199,N/A
新世紀特區,中壢分局,68000,68000020,洽溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,81,N/A,N/A,N/A,1、2,1916,25.008414,121.202757,N/A
佳瑞M+,中壢分局,68000,68000020,青埔里,4,高鐵站前西路,N/A,N/A,二,N/A,N/A,N/A,107,N/A,2樓,N/A,1、2、3,1254,25.00668,121.220814,N/A
微笑城堡,中壢分局,68000,68000020,復華里,3,N/A,N/A,長興街,N/A,N/A,N/A,N/A,35,N/A,3樓,N/A,1、2,3027,24.971296,121.250429,N/A
涵韻,中壢分局,68000,68000020,興華里,18,N/A,N/A,復華街,N/A,N/A,N/A,N/A,218,N/A,N/A,N/A,1、2、3,704,24.974681,121.248305,N/A
經濟部標準檢驗局新竹分局,中壢分局,68000,68000020,忠義里,2,南園路,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,N/A,0,103,24.966782,121.240942,N/A
_首富社區,中壢分局,68000,68000060,青山里,35,N/A,N/A,致祥一街,N/A,N/A,N/A,N/A,95,N/A,N/A,N/A,1、2,1788,25.008307,121.211712,N/A
麒寶國際會館,中壢分局,68000,68000020,洽溪里,6,民權路,N/A,N/A,四,N/A,N/A,N/A,730,N/A,N/A,N/A,1、2,1107,25.012502,121.203516,N/A
日光苑,中壢分局,68000,68000020,芝芭里,1,高鐵南路,N/A,N/A,二,N/A,N/A,N/A,283,N/A,N/A,N/A,1、2,976,25.002595,121.204839,N/A
和瑞捷境,中壢分局,68000,68000020,忠福里,38,南園二路,N/A,N/A,N/A,296,21,N/A,72,N/A,N/A,N/A,1、2、3,1877,24.972353,121.227648,N/A
銀行廣場地下停車場,中壢分局,68000,68000020,興南里,25,N/A,N/A,九和一街,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,1、2、3,2060,24.962544,121.230043,N/A
大學誠,中壢分局,68000,68000020,五權里,20,N/A,N/A,正光二街,N/A,N/A,N/A,N/A,90,N/A,12樓,N/A,1、2、3,1380,24.960082,121.205197,N/A
佳昂躍世界,中壢分局,68000,68000020,青溪里,7,永能路,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,1、2、3,1191,25.006591,121.203218,N/A
_東方明珠,中壢分局,68000,68000060,青峰里,28,N/A,N/A,大華一街,N/A,N/A,N/A,N/A,26,N/A,N/A,N/A,1、2,1278,25.020749,121.219538,N/A
_太子馥,中壢分局,68000,68000060,青山里,35,致遠一路,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,5樓,N/A,1、2,2673,25.006595,121.212795,N/A
世界MRT,中壢分局,68000,68000020,芝芭里,1,領航北路,N/A,N/A,一,N/A,N/A,N/A,261,N/A,2樓,N/A,1、2,1743,25.006154,121.200742,N/A
尊藏帝苑,中壢分局,68000,68000020,芝芭里,1,文智路,N/A,N/A,N/A,N/A,N/A,N/A,92,N/A,10樓,N/A,1、2,1479,25.001792,121.207119,N/A
_紐約線上,中壢分局,68000,68000020,青埔里,19,青商路,N/A,N/A,N/A,N/A,N/A,N/A,76,N/A,2樓,N/A,1、2、3,1190,25.005777,121.217344,N/A
太睿A19,中壢分局,68000,68000020,洽溪里,2,聖溪二路,N/A,N/A,N/A,N/A,N/A,N/A,208,N/A,5樓之2,N/A,1、2,1535,25.021003,121.196172,N/A
益展詠富,中壢分局,68000,68000020,龍興里,19,龍仁路,N/A,N/A,N/A,N/A,N/A,N/A,31,N/A,N/A,N/A,1、2、3,838,24.937645,121.234357,N/A
藏悅大廈,中壢分局,68000,68000020,五權里,24,N/A,N/A,正大街,N/A,N/A,N/A,N/A,88,N/A,N/A,N/A,1、2、3,2050,24.960045,121.205462,N/A
格百鑫股份有限公司,中壢分局,68000,68000020,中榮里,4,博愛三路,N/A,N/A,N/A,N/A,N/A,N/A,38,N/A,3樓,N/A,1,120,24.954689,121.218983,N/A
卓宅,中壢分局,68000,68000020,新明里,15,中正路,N/A,N/A,N/A,N/A,N/A,N/A,596,N/A,N/A,N/A,1,235,24.959473,121.211385,N/A
民宅,中壢分局,68000,68000020,仁美里,1,中山東路,N/A,N/A,三,N/A,N/A,N/A,111,N/A,N/A,N/A,1,77,24.944661,121.248463,N/A
東京線上,中壢分局,68000,68000020,青溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,2,N/A,N/A,N/A,1、2、3,1036,25.006937,121.201612,N/A
民宅,中壢分局,68000,68000020,東興里,12,中北路,N/A,N/A,二,N/A,N/A,N/A,79,N/A,N/A,N/A,1、2,195,24.95126,121.224862,N/A
晶曜社區,中壢分局,68000,68000020,龍慈里,22,後寮一路,N/A,N/A,N/A,N/A,N/A,N/A,282,N/A,N/A,N/A,1、2,419,24.937118,121.246263,N/A
伍金企業股份有限公司,中壢分局,68000,68000020,內定里,0,新北園路,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,1,815,24.99033,121.241732,N/A
慶澤居,中壢分局,68000,68000020,興福里,26,N/A,N/A,福洲二街,N/A,N/A,N/A,N/A,351,N/A,N/A,N/A,1、2,422,24.96745,121.230135,N/A
青沐,中壢分局,68000,68000020,洽溪里,7,永春路,N/A,N/A,N/A,N/A,N/A,N/A,143,N/A,N/A,N/A,1、2,452,25.012947,121.206029,N/A
_布拉格水立方二期,中壢分局,68000,68000060,青山里,35,致遠一路,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,9樓,N/A,1、2,1056,25.005411,121.211432,N/A
_宜誠大容國美館,中壢分局,68000,68000060,青山里,35,公園路,N/A,N/A,一,N/A,N/A,N/A,76,N/A,N/A,N/A,1、2,2040,25.005459,121.210869,N/A
民宅,中壢分局,68000,68000020,復華里,3,中華路,N/A,N/A,一,N/A,N/A,N/A,572,N/A,N/A,N/A,1、2、3,4340,24.969852,121.251642,N/A
日月光半導體股份有限公司,中壢分局,68000,68000020,復華里,3,中華路,N/A,N/A,一,N/A,N/A,N/A,566,N/A,N/A,N/A,1、2、3,19958,24.969833,121.25174,N/A
大清哈佛社區,中壢分局,68000,68000020,過嶺里,12,松義路,N/A,N/A,N/A,N/A,N/A,N/A,125,N/A,10樓,N/A,1、2,2703,24.960356,121.166582,N/A
懷寧醫院,中壢分局,68000,68000020,五權里,13,N/A,N/A,正光街,N/A,N/A,N/A,N/A,229,N/A,N/A,N/A,1、2、3、4,1512,24.961409,121.205358,N/A
台灣產健股份有限公司,中壢分局,68000,68000020,興國里,4,元化路,N/A,N/A,二,N/A,N/A,N/A,109,N/A,6樓之7,N/A,1,453,24.962631,121.220571,N/A
宮廷樂章,中壢分局,68000,68000020,金華里,5,新生路,N/A,N/A,N/A,N/A,N/A,N/A,288,N/A,N/A,N/A,1、2,3956,24.964324,121.223401,N/A
_青昕,中壢分局,68000,68000020,青埔里,4,N/A,N/A,青埔四街,N/A,N/A,N/A,N/A,88,N/A,N/A,N/A,1,325,25.005405,121.220185,N/A
世界CBD,中壢分局,68000,68000020,青埔里,4,青商路,N/A,N/A,N/A,N/A,N/A,N/A,123,N/A,6樓,N/A,1、2、3,1282,25.006842,121.217906,N/A
_佳昂河沐,中壢分局,68000,68000060,青山里,35,公園路,N/A,N/A,一,N/A,N/A,N/A,87,N/A,2樓,N/A,1、2、3,1083,25.004565,121.210428,N/A
幸福大院,中壢分局,68000,68000020,復華里,3,N/A,N/A,長興街,N/A,150,N/A,N/A,16,N/A,7樓,N/A,1、2,5580,24.973069,121.250225,N/A
國際高鐵上品苑,中壢分局,68000,68000020,洽溪里,5,N/A,N/A,永順三街,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,1,511,25.012879,121.204731,N/A
上城捷境,中壢分局,68000,68000020,青埔里,4,青商路,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1、2、3,1408,25.005355,121.216293,N/A
明日苑NO1國品苑,中壢分局,68000,68000020,青埔里,4,青商路,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,2樓,N/A,1、2、3,791,25.007266,121.218213,N/A
國際高鐵捷運首席,中壢分局,68000,68000020,洽溪里,7,民權路,N/A,N/A,四,N/A,N/A,N/A,281,N/A,10樓,N/A,1、2、3,1938,25.0065,121.202302,N/A
海德公園,中壢分局,68000,68000060,青峰里,29,高鐵北路,N/A,N/A,二,N/A,N/A,N/A,96,N/A,N/A,N/A,1、2,841,25.018352,121.220657,N/A
_東方明珠NO2,中壢分局,68000,68000060,青峰里,28,大成路,N/A,N/A,二,N/A,N/A,N/A,49,N/A,N/A,N/A,1、2、3,1230,25.020602,121.220466,N/A
竹城羽田,中壢分局,68000,68000060,青峰里,29,大成路,N/A,N/A,二,N/A,N/A,N/A,1,N/A,N/A,N/A,1、2、3,1349,25.019766,121.220948,N/A
喜大人,中壢分局,68000,68000020,青埔里,1,高鐵北路,N/A,N/A,二,N/A,N/A,N/A,1,N/A,N/A,N/A,1,402,25.017699,121.218231,N/A
麗朵,中壢分局,68000,68000020,興福里,38,南園二路,N/A,N/A,N/A,296,N/A,N/A,26,N/A,2樓,N/A,1、2、3,3436,24.972752,121.227874,N/A
青川社區,中壢分局,68000,68000020,月眉里,14,月桃路,N/A,N/A,N/A,568,N/A,N/A,122,N/A,N/A,N/A,1,376,25.011219,121.188633,N/A
振祥富御,中壢分局,68000,68000020,自信里,17,莊敬路,N/A,N/A,N/A,829,N/A,N/A,48,N/A,N/A,N/A,1、2,1295,24.963474,121.254738,N/A
湯城世紀-領袖,中壢分局,68000,68000020,忠義里,10,中華路,N/A,N/A,一,835,66,N/A,21,N/A,N/A,N/A,1、2、3、4,5040,24.967221,121.245748,N/A
國致精密股份有限公司,中壢分局,68000,68000020,文化里,6,北園路,N/A,N/A,N/A,N/A,N/A,N/A,31,1,N/A,N/A,1,120,24.98295,121.24224,N/A
富旺新世界,中壢分局,68000,68000020,龍東里,16,龍東路,N/A,N/A,N/A,255,N/A,N/A,165,N/A,N/A,N/A,1,832,24.931168,121.250002,N/A
富旺新世紀,中壢分局,68000,68000020,龍東里,16,龍昌路,N/A,N/A,N/A,N/A,N/A,N/A,461,N/A,11樓,N/A,1、2,1213,24.931015,121.248948,N/A
昇公館,中壢分局,68000,68000020,三民里,11,環西路,N/A,N/A,二,N/A,N/A,N/A,201,N/A,N/A,N/A,1、2,1690,24.965716,121.216512,N/A
_帝一莊社區,中壢分局,68000,68000060,青峰里,37,領航北路,N/A,N/A,四,N/A,N/A,N/A,310,N/A,N/A,N/A,1、2,3577,25.024091,121.220085,N/A
順儷MIHO,中壢分局,68000,68000020,青溪里,7,洽溪路,N/A,N/A,N/A,N/A,N/A,N/A,171,N/A,N/A,N/A,1、2,705,25.007639,121.20566,N/A
_順儷,中壢分局,68000,68000060,青峰里,28,N/A,N/A,大豐四街,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1、2,751,25.022913,121.218857,N/A
_順儷V2,中壢分局,68000,68000060,青峰里,26,大智路,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,1、2,646,25.022812,121.216824,N/A
鋒橋遠見,中壢分局,68000,68000020,洽溪里,6,民權路,N/A,N/A,四,N/A,N/A,N/A,742,N/A,N/A,N/A,1、2,629,25.013035,121.203754,N/A
_國際高鐵-富御居(華廈),中壢分局,68000,68000020,青埔里,3,青峰路,N/A,N/A,二,N/A,N/A,N/A,112,N/A,N/A,N/A,1、2,305,25.017776,121.222256,N/A
_國際高鐵-捷運之星(華廈),中壢分局,68000,68000060,青峰里,38,大成路,N/A,N/A,一,N/A,N/A,N/A,2,N/A,N/A,N/A,1、2,2361,25.018561,121.223392,N/A
太睿泰極,中壢分局,68000,68000020,芝芭里,1,領航南路,N/A,N/A,一,N/A,N/A,N/A,89,N/A,N/A,N/A,1、2,1722,25.001135,121.205347,N/A
台中商業銀行中壢分行,中壢分局,68000,68000020,金華里,21,環北路,N/A,N/A,N/A,N/A,N/A,N/A,389,N/A,N/A,N/A,1,290,24.966165,121.225666,N/A
民宅,中壢分局,68000,68000020,新街里,6,延平路,廟前,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,1,195,24.963959,121.233451,N/A
法國紅,中壢分局,68000,68000020,永光里,11,環西路,N/A,N/A,二,226,N/A,N/A,2,N/A,9樓,N/A,1、2、3,273,24.963932,121.211819,N/A
雲邸社區,中壢分局,68000,68000020,龍德里,20,龍慈路,N/A,N/A,N/A,N/A,N/A,N/A,832,N/A,N/A,N/A,1、2,2457,24.934277,121.237553,N/A
宜誠天匯2社區,中壢分局,68000,68000020,過嶺里,12,N/A,N/A,松義三街,N/A,N/A,N/A,N/A,252,N/A,N/A,N/A,1、2、3,1557,24.959784,121.165457,N/A
太睿泰極,中壢分局,68000,68000020,芝芭里,1,領航南路,N/A,N/A,一,N/A,N/A,N/A,89,N/A,N/A,N/A,1、2,1722,25.001242,121.205379,N/A
_AIC營邦企業,中壢分局,68000,68000060,青峰里,26,領航北路,N/A,N/A,四,N/A,N/A,N/A,152,N/A,N/A,N/A,1、2,926,25.023542,121.216875,N/A
_宜城當代國學館,中壢分局,68000,68000060,青峰里,27,大勇路,N/A,N/A,N/A,N/A,N/A,N/A,31,N/A,2樓,N/A,1、2,2032,25.020186,121.219397,N/A
威均雙子星,中壢分局,68000,68000020,芝芭里,1,文平路,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,1、2、3,1291,25.004231,121.204281,N/A
_璟都帝一琚,中壢分局,68000,68000060,青峰里,28,N/A,N/A,大豐二街,N/A,N/A,N/A,N/A,60,N/A,2樓,N/A,1、2,1222,25.022512,121.220823,N/A
_國際高鐵御景,中壢分局,68000,68000020,青溪里,7,高鐵南路,N/A,N/A,一,N/A,N/A,N/A,372,N/A,13樓,N/A,1、2、3,975,25.007299,121.208378,N/A
宜誠當代國瑭,中壢分局,68000,68000020,洽溪里,7,公園路,N/A,N/A,二,N/A,N/A,N/A,250,N/A,N/A,N/A,1、2,3060,24.962515,121.23015,N/A
太子馥NO2,中壢分局,68000,68000020,青溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,192,N/A,N/A,N/A,1、2、3,3239,25.008602,121.204177,N/A
新潤明日苑NO3,中壢分局,68000,68000020,青埔里,4,領航南路,N/A,N/A,三,N/A,N/A,N/A,320,N/A,9樓,N/A,1、2、3、4,543,25.011343,121.221304,N/A
和耀真諦,中壢分局,68000,68000020,復華里,3,N/A,N/A,長興街,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,1、2、3,978,24.971541,121.250456,N/A
詠藏,中壢分局,68000,68000020,興華里,16,N/A,N/A,長樂二街,N/A,N/A,N/A,N/A,19,N/A,10樓之5,N/A,1、2、3,2291,24.977999,121.248954,N/A
高榮禮拜堂,中壢分局,68000,68000020,過嶺里,14,松智路,N/A,N/A,N/A,N/A,N/A,N/A,211,N/A,N/A,N/A,1,370,24.959681,121.170874,N/A
青埔馥境社區,中壢分局,68000,68000020,月眉里,8,月德路,N/A,N/A,N/A,176,N/A,N/A,1,N/A,N/A,N/A,1,1078,25.020826,121.181144,N/A
高誠森仰社區,中壢分局,68000,68000020,過嶺里,12,松勇路,N/A,N/A,N/A,N/A,N/A,N/A,217,N/A,N/A,N/A,1、2,1491,24.962493,121.163954,N/A
百川文隱,中壢分局,68000,68000020,五福里,15,中正路,N/A,N/A,N/A,N/A,N/A,N/A,627,N/A,N/A,N/A,1、2、3,726,24.959605,121.210758,N/A
青埔國中,中壢分局,68000,68000020,青溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,281,N/A,N/A,N/A,1,809,25.011654,121.206122,N/A
曜見築,中壢分局,68000,68000060,青山里,34,興德路,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,1、2,1591,25.019297,121.212321,N/A
華固天圓,中壢分局,68000,68000020,青溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,336,N/A,N/A,N/A,1、2、3,1925,25.010749,121.206681,N/A
新潤明日苑NO5國寶苑,中壢分局,68000,68000020,青埔里,4,青商路,N/A,N/A,N/A,N/A,N/A,N/A,359,N/A,N/A,N/A,1、2、3、4,535,25.011151,121.221923,N/A
宜誠有合,中壢分局,68000,68000020,青溪里,8,文發路,N/A,N/A,N/A,N/A,N/A,N/A,181,N/A,N/A,N/A,1、2、3,1138,25.003141,121.208736,N/A
力璞棧,中壢分局,68000,68000020,青埔里,4,青商路,N/A,N/A,N/A,N/A,N/A,N/A,298,N/A,N/A,N/A,1、2、3,928,25.008528,121.220095,N/A
新潤明日苑NO2國璽苑,中壢分局,68000,68000020,青溪里,7,領航北路,N/A,N/A,二,N/A,N/A,N/A,67,N/A,N/A,N/A,1、2、3、4,2264,25.007606,121.202202,N/A
捷韻A19社區,中壢分局,68000,68000020,月眉里,11,月眉路,N/A,N/A,三,N/A,N/A,N/A,101,N/A,2樓,N/A,1,437,25.013082,121.184445,N/A
鼎藏富御,中壢分局,68000,68000020,普義里,9,N/A,N/A,溪州三街,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,1、2、3,982,24.960632,121.230367,N/A
湯城世紀,中壢分局,68000,68000020,忠義里,10,中華路,N/A,N/A,一,N/A,N/A,N/A,789,N/A,N/A,N/A,1、2,3475,24.968106,121.246842,N/A
陳宅,中壢分局,68000,68000020,光明里,23,中央西路,N/A,N/A,二,141,N/A,N/A,39,N/A,N/A,N/A,1,160,24.960949,121.214814,N/A
民宅,中壢分局,68000,68000020,仁愛里,10,N/A,功學社新村,N/A,N/A,N/A,N/A,N/A,359,1,2樓,N/A,1,254,24.95538,121.255245,N/A
華爾道夫NO1,中壢分局,68000,68000020,芝芭里,1,文智路,N/A,N/A,N/A,N/A,N/A,N/A,160,N/A,N/A,N/A,1、2、3,1477,25.001818,121.208589,N/A
新潤明日苑NO6,中壢分局,68000,68000020,青溪里,7,洽溪路,N/A,N/A,N/A,N/A,N/A,N/A,351,N/A,N/A,N/A,1、2、3,1735,25.010421,121.208295,N/A
_太睿澐極,中壢分局,68000,68000020,青溪里,7,文發路,N/A,N/A,N/A,N/A,N/A,N/A,361,N/A,N/A,N/A,1、2、3,1318,25.006594,121.209239,N/A
_翔譽17,中壢分局,68000,68000060,青峰里,28,N/A,N/A,大豐一街,N/A,N/A,N/A,N/A,62,N/A,八樓之6,N/A,1、2、3,1103,25.023383,121.219307,N/A
佳瑞盈+,中壢分局,68000,68000020,青埔里,4,N/A,N/A,青埔五街,N/A,N/A,N/A,N/A,77,N/A,四樓,N/A,1、2,1166,25.005996,121.222521,N/A
宏普光年,中壢分局,68000,68000020,芝芭里,1,高鐵南路,N/A,N/A,二,N/A,N/A,N/A,278,N/A,四樓,N/A,1、2、3,1393,25.00306,121.205296,N/A
_一品院,中壢分局,68000,68000020,青埔里,4,N/A,N/A,青埔四街,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,1、2、3,1308,25.005558,121.219941,N/A
宏普光年NO2,中壢分局,68000,68000020,青埔里,7,領航南路,N/A,N/A,二,N/A,N/A,N/A,199,N/A,N/A,N/A,1、2、3,1704,25.005383,121.214322,N/A
聯上世界,中壢分局,68000,68000060,青山里,39,高鐵南路,N/A,N/A,一,N/A,N/A,N/A,93,N/A,七樓,N/A,1、2、3,1717,25.009397,121.211688,N/A
綠景,中壢分局,68000,68000020,芝芭里,1,高鐵南路,N/A,N/A,二,N/A,N/A,N/A,223,N/A,N/A,N/A,1、2,983,25.00356,121.205726,N/A
樺龍康橋新幹線NO8,中壢分局,68000,68000020,洽溪里,6,民權路,N/A,N/A,四,N/A,N/A,N/A,475,N/A,N/A,N/A,1、2,575,25.008935,121.201645,N/A
竹風航空城NO1,中壢分局,68000,68000020,青溪里,7,文德路,N/A,N/A,N/A,N/A,N/A,N/A,118,N/A,二樓,N/A,1、2、3,1457,25.002181,121.207815,N/A
