建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
厚陞園社區大樓,桃園分局,68000,68000010,長美里,6,民權路,N/A,N/A,N/A,N/A,N/A,N/A,98,N/A,N/A,N/A,1、2、3,308,24.994968,121.309462,N/A
合展悅禾社區大樓,桃園分局,68000,68000010,中成里,14,慈文路,N/A,N/A,N/A,N/A,N/A,N/A,569,N/A,十一樓,N/A,1、2、3,2430,25.002613,121.296638,N/A
昭揚君邸社區大樓,桃園分局,68000,68000010,文中里,3,力行路,N/A,N/A,N/A,N/A,N/A,N/A,610,N/A,N/A,N/A,1、2、3,1452,24.998641,121.293105,N/A
遠雄青晉社區大樓,桃園分局,68000,68000010,青溪里,15,N/A,N/A,中央街,N/A,N/A,N/A,N/A,221,N/A,N/A,N/A,1、2、3、4,1883,25.001708,121.315328,N/A
桃園市政府消防局,桃園分局,68000,68000010,中埔里,7,富國路,N/A,N/A,N/A,N/A,N/A,N/A,366,N/A,N/A,N/A,1,526,25.014837,121.285809,N/A
璟都米蘭社區大樓,桃園分局,68000,68000010,南埔里,8,N/A,N/A,吉安街,N/A,N/A,N/A,N/A,78,N/A,23樓,N/A,1、2、3、4,2697,25.005255,121.292432,N/A
亞昕向陽社區大樓,桃園分局,68000,68000010,青溪里,16,日光路,N/A,N/A,N/A,8,N/A,N/A,8,N/A,6樓,N/A,1、2、3、4,1310,25.000909,121.312829,N/A
中??花園社區大樓,桃園分局,68000,68000010,汴洲里,34,幸福路,N/A,N/A,N/A,N/A,N/A,N/A,356,N/A,3樓,N/A,1、2、3,1723,25.028443,121.297544,N/A
公園琚社區大樓,桃園分局,68000,68000010,中成里,12,N/A,N/A,吉安一街,N/A,N/A,N/A,N/A,56,N/A,N/A,N/A,1、2、3,296,25.004886,121.294395,N/A
福容佳麗寶社區大樓,桃園分局,68000,68000010,青溪里,16,春日路,N/A,N/A,N/A,N/A,N/A,N/A,471,N/A,N/A,N/A,1、2、3、4,1144,25.003067,121.313142,N/A
朝陽天銳社區大樓,桃園分局,68000,68000010,青溪里,17,民光東路,N/A,N/A,N/A,N/A,N/A,N/A,365,N/A,十三樓,N/A,1、2、3,1057,25.005607,121.310601,N/A
京澄為美社區大樓,桃園分局,68000,68000010,青溪里,17,N/A,N/A,中央街,N/A,N/A,N/A,N/A,321,N/A,N/A,N/A,1、2、3、4,890,25.004034,121.314364,N/A
璟都城品社區大樓,桃園分局,68000,68000010,大有里,8,大有路,N/A,N/A,N/A,N/A,N/A,N/A,407,N/A,十四樓,N/A,1、2、3,1405,25.010956,121.319163,N/A
悅風華社區大樓,桃園分局,68000,68000010,南埔里,8,大興西路,N/A,N/A,三,N/A,N/A,N/A,81,N/A,3樓,N/A,1、2、3、4,1528,25.005694,121.291148,N/A
